媒体名称,备注,所属表名,所属列名,是否官媒,判断理由,提取的主管单位(隐式)
三门峡网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上海一网通办总门户,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,省级政务发布平台（31家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[上海一网通办总门户所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,上海一网通办总门户所属党政机关
上海发布,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,省级政务发布平台（31家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[上海发布所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,上海发布所属党政机关
上海市人民政府网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,省级政务发布平台（31家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[上海市人民政府网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,上海市人民政府网站所属党政机关
上海广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
上海日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上海法治报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上海证券报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上游新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上观新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上饶市广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
上饶新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
上饶日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
世界互联网大会,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[世界互联网大会所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,世界互联网大会所属党政机关
世界互联网大会网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[世界互联网大会网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,世界互联网大会网站所属党政机关
东北新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东北网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东南网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东方圣城网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东方网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东楚网(黄石新闻网),《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东江传媒网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东莞广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
东莞时间网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东莞阳光网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东营市广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
东营日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东营网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
东部战区,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[东部战区所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,东部战区所属党政机关
东风快递,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[东风快递所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,东风快递所属党政机关
丝路明珠网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
丝路视听网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中共河北省委共产党员杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
中华人民共和国,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中华人民共和国所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中华人民共和国所属党政机关
中华全国学联,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中华全国学联所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中华全国学联所属党政机关
中华宽带网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中华工商时报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 法定群团组织[中华全国工商业联合会]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中华全国工商业联合会
中华泰山网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中华读书报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中华龙都网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中卫新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中原网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国中医,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国中医所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国中医所属党政机关
中国中医药报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家中医药管理局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家中医药管理局
中国乡村振兴杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家乡村振兴局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家乡村振兴局
中国乡村振兴网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家乡村振兴局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家乡村振兴局
中国互联网联合辟谣平台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微博,是,✅ 特殊豁免: 政务发布平台本体[中国互联网联合辟谣平台所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国互联网联合辟谣平台所属党政机关
中国互联网联合辟谣平台网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国互联网联合辟谣平台网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国互联网联合辟谣平台网站所属党政机关
中国交通,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微博,是,✅ 特殊豁免: 政务发布平台本体[中国交通所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国交通所属党政机关
中国交通报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[交通运输部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,交通运输部
中国交通新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[交通运输部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,交通运输部
中国人口报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家卫生健康委员会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家卫生健康委员会
中国人大网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国人大网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国人大网所属党政机关
中国人权网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,其他单位主管主办的报刊网站（8家）,主管主办的报刊网站（8家）,是,✅ 主管单位[中国人权研究会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国人权研究会
中国人民银行,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国人民银行所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国人民银行所属党政机关
中国人民银行网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国人民银行网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国人民银行网站所属党政机关
中国仙桃网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国企业家杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
中国企业家网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国体育报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家体育总局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家体育总局
中国供销,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国供销所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国供销所属党政机关
中国供销合作网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国供销合作网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国供销合作网所属党政机关
中国侨网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国儿童福利,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国儿童福利所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国儿童福利所属党政机关
